,itemList
1,terca-feira , Falta de Atencao a Conducao , Colisao com objeto estatico ,  , FORD , Masculino , Automovel , Faixa Etaria:50-54 , Idade veiculo: < 3 anos , tarde , janeiro,terca-feira , Pista Escorregadia , Colisao com objeto estatico ,  , FORD , Masculino , Automovel , Faixa Etaria:50-54 , Idade veiculo: < 3 anos , tarde , janeiro,terca-feira , Falta de Atencao a Conducao , Capotamento ,  , FORD , Masculino , Automovel , Faixa Etaria:50-54 , Idade veiculo: < 3 anos , tarde , janeiro,terca-feira , Pista Escorregadia , Capotamento ,  , FORD , Masculino , Automovel , Faixa Etaria:50-54 , Idade veiculo: < 3 anos , tarde , janeiro
2,quinta-feira , Desobediencia as normas de transito pelo pedestre , Atropelamento de Pedestre ,  , FIAT , Masculino , Caminhonete , Faixa Etaria:20-24 , Idade veiculo: > 5 anos , tarde , janeiro,quinta-feira , Desobediencia as normas de transito pelo pedestre , Atropelamento de Pedestre ,  , FIAT , Masculino , Caminhonete , Faixa Etaria:40-44 , Idade veiculo: > 5 anos , tarde , janeiro
3,sexta-feira , Avarias e/ou desgaste excessivo no pneu , Colisao com objeto estatico ,  , FIAT , Masculino , Automovel , Faixa Etaria:30-34 , Idade veiculo: > 10 anos , madrugada , janeiro,sexta-feira , Falta de Atencao a Conducao , Colisao com objeto estatico ,  , FIAT , Masculino , Automovel , Faixa Etaria:30-34 , Idade veiculo: > 10 anos , madrugada , janeiro,sexta-feira , Pista Escorregadia , Colisao com objeto estatico ,  , FIAT , Masculino , Automovel , Faixa Etaria:30-34 , Idade veiculo: > 10 anos , madrugada , janeiro,sexta-feira , Velocidade Incompativel , Colisao com objeto estatico ,  , FIAT , Masculino , Automovel , Faixa Etaria:30-34 , Idade veiculo: > 10 anos , madrugada , janeiro
4,fim_de_semana , Falta de Atencao a Conducao , Colisao com objeto estatico ,  , GM , Feminino , Automovel , Faixa Etaria:20-24 , Idade veiculo: > 10 anos , manha , janeiro,fim_de_semana , Falta de Atencao a Conducao , Colisao traseira ,  , GM , Feminino , Automovel , Faixa Etaria:20-24 , Idade veiculo: > 10 anos , noite , janeiro,fim_de_semana , Falta de Atencao a Conducao , Colisao com objeto estatico ,  , Nao Informado , Masculino , Caminhao , Faixa Etaria:35-39 , Idade veiculo: > 5 anos , noite , janeiro,fim_de_semana , Falta de Atencao a Conducao , Colisao traseira ,  , Nao Informado , Masculino , Caminhao , Faixa Etaria:35-39 , Idade veiculo: > 5 anos , noite , janeiro,fim_de_semana , Falta de Atencao a Conducao , Colisao com objeto estatico ,  , GM , Feminino , Automovel , Faixa Etaria:55-59 , Idade veiculo: > 10 anos , noite , janeiro,fim_de_semana , Falta de Atencao a Conducao , Colisao traseira ,  , GM , Feminino , Automovel , Faixa Etaria:55-59 , Idade veiculo: > 10 anos , noite , janeiro
5,fim_de_semana , Ingestao de Alcool , Saida de leito carroc vel ,  , FORD , Masculino , Automovel , Faixa Etaria:45-49 , Idade veiculo: > 10 anos , madrugada , janeiro
6,fim_de_semana , Defeito Mecanico no Veiculo , Tombamento ,  , HONDA , Masculino , Motocicleta , Faixa Etaria:40-44 , Idade veiculo: > 10 anos , tarde , janeiro,fim_de_semana , Defeito Mecanico no Veiculo , Tombamento ,  , HONDA , Feminino , Motocicleta , Faixa Etaria:45-49 , Idade veiculo: > 10 anos , tarde , janeiro
7,fim_de_semana , Pista Escorregadia , Queda de ocupante de veiculo ,  , YAMAHA , Masculino , Motocicleta , Faixa Etaria:55-59 , Idade veiculo: > 10 anos , tarde , janeiro
8,fim_de_semana , Falta de Atencao a Conducao , Colisao com objeto estatico ,  , VW , Nao Informado sexo , Automovel , Faixa Etaria:35-39 , Idade veiculo: > 15 anos , madrugada , janeiro,fim_de_semana , Falta de Atencao a Conducao , Colisao com objeto estatico ,  , VW , Nao Informado sexo , Automovel , Faixa Etaria:35-39 , Idade veiculo: > 15 anos , madrugada , janeiro,fim_de_semana , Falta de Atencao a Conducao , Colisao com objeto estatico ,  , VW , Nao Informado sexo , Automovel , Faixa Etaria:35-39 , Idade veiculo: > 15 anos , madrugada , janeiro
9,terca-feira , Falta de Atencao a Conducao , Colisao traseira ,  , CITROEN , Masculino , Automovel , Faixa Etaria:35-39 , Idade veiculo: > 5 anos , madrugada , janeiro,terca-feira , Nao guardar distancia de seguranca , Colisao traseira ,  , CITROEN , Masculino , Automovel , Faixa Etaria:35-39 , Idade veiculo: > 5 anos , madrugada , janeiro,terca-feira , Falta de Atencao a Conducao , Colisao traseira ,  , CITROEN , Feminino , Automovel , Faixa Etaria:50-54 , Idade veiculo: > 5 anos , madrugada , janeiro,terca-feira , Nao guardar distancia de seguranca , Colisao traseira ,  , CITROEN , Feminino , Automovel , Faixa Etaria:50-54 , Idade veiculo: > 5 anos , madrugada , janeiro
10,quinta-feira , Nao guardar distancia de seguranca , Colisao lateral ,  , HONDA , Feminino , Motocicleta , Faixa Etaria:35-39 , Idade veiculo: < 3 anos , noite , janeiro,quinta-feira , Nao guardar distancia de seguranca , Colisao lateral ,  , HONDA , Masculino , Motocicleta , Faixa Etaria:40-44 , Idade veiculo: < 3 anos , noite , janeiro,quinta-feira , Nao guardar distancia de seguranca , Colisao lateral ,  , VW , Masculino , Automovel , Faixa Etaria:45-49 , Idade veiculo: > 5 anos , noite , janeiro
11,segunda-feira , Nao guardar distancia de seguranca , Queda de ocupante de veiculo ,  , RENAULT , Masculino , Automovel , Faixa Etaria:20-24 , Idade veiculo: > 5 anos , noite , janeiro,segunda-feira , Nao guardar distancia de seguranca , Colisao lateral ,  , RENAULT , Masculino , Automovel , Faixa Etaria:20-24 , Idade veiculo: > 5 anos , noite , janeiro,segunda-feira , Nao guardar distancia de seguranca , Queda de ocupante de veiculo ,  , YAMAHA , Masculino , Motocicleta , Faixa Etaria:35-39 , Idade veiculo: > 10 anos , noite , janeiro,segunda-feira , Nao guardar distancia de seguranca , Colisao lateral ,  , YAMAHA , Masculino , Motocicleta , Faixa Etaria:35-39 , Idade veiculo: > 10 anos , noite , janeiro
12,quinta-feira , Falta de Atencao a Conducao , Tombamento ,  , HONDA , Masculino , Motocicleta , Faixa Etaria:20-24 , Idade veiculo: > 15 anos , noite , janeiro,quinta-feira , Falta de Atencao a Conducao , Colisao lateral ,  , HONDA , Masculino , Motocicleta , Faixa Etaria:20-24 , Idade veiculo: > 15 anos , noite , janeiro,quinta-feira , Falta de Atencao a Conducao , Tombamento ,  , HONDA , Feminino , Motocicleta , Faixa Etaria:50-54 , Idade veiculo: > 15 anos , noite , janeiro,quinta-feira , Falta de Atencao a Conducao , Colisao lateral ,  , HONDA , Feminino , Motocicleta , Faixa Etaria:50-54 , Idade veiculo: > 15 anos , noite , janeiro,quinta-feira , Falta de Atencao a Conducao , Tombamento ,  , FIAT , Masculino , Automovel , Faixa Etaria:55-59 , Idade veiculo: > 10 anos , noite , janeiro,quinta-feira , Falta de Atencao a Conducao , Colisao lateral ,  , FIAT , Masculino , Automovel , Faixa Etaria:55-59 , Idade veiculo: > 10 anos , noite , janeiro
