Close
15.02
15.18
14.49
13.97
12.96
12.37
13.29
13.65
15.30
16.77
15.38
16.10
19.70
21.46
21.41
22.97
18.98
17.19
19.72
19.26
21.09
27.62
25.46
22.68
25.58
27.06
28.06
27.11
25.55
