id,Item,Peso
1,Camisa,250
2,Camiseta,150
3,Jean,800
4,Moleton,600
5,Blusao,400
6,Livro,400
7,Toalha de banho,500
8,Tenis,250
9,Meia,30
10,Pijama,400
11,Bermuda,400
12,Revista,400
13,Chinelo,200
14,Sapato,300
15,Roupa intima,50
16,Necessaire,200
17,Medicamentos,150
18,Presente,400
